"mjage","cigever","alcever","AGE2","sexatract","speakengl","irsex"
21,1,1,15,1,1,1
20,1,1,14,1,1,1
14,1,1,16,1,1,1
17,2,1,8,1,1,2
11,1,1,13,2,1,2
18,1,2,14,1,1,1
12,1,1,15,2,1,2
16,1,1,14,1,1,1
14,1,1,16,4,1,1
15,1,1,11,5,1,1
28,1,1,14,1,1,2
12,1,1,15,4,1,2
13,1,1,13,1,1,1
20,1,1,14,1,1,1
33,1,1,14,1,1,2
20,1,1,16,1,1,1
26,1,1,13,1,1,1
18,2,1,13,1,1,2
18,1,1,17,1,1,2
36,1,1,15,2,1,2
15,1,1,15,1,1,1
17,1,1,13,5,1,1
14,1,1,15,1,1,2
13,1,1,16,1,1,1
14,2,1,5,99,1,2
15,1,1,15,1,1,2
17,2,1,6,99,1,1
18,1,1,15,1,1,1
18,2,1,9,1,1,2
16,1,1,14,1,1,1
19,1,1,15,2,1,1
17,1,1,7,98,98,1
19,2,1,15,1,1,2
17,1,1,15,1,1,2
16,2,1,6,99,1,2
21,1,1,17,1,1,1
20,2,1,11,1,1,1
12,1,1,15,1,1,2
8,1,1,6,99,1,1
14,1,1,15,1,1,2
18,1,1,15,1,1,2
16,1,1,9,1,1,1
18,1,1,15,1,1,1
16,1,1,13,97,97,2
19,2,1,15,1,1,2
18,1,1,13,1,1,2
16,2,1,5,99,1,1
14,2,1,12,97,2,2
34,2,1,15,1,1,2
14,1,1,12,1,1,1
16,1,1,14,1,1,2
18,1,1,12,1,1,1
18,1,1,12,1,1,1
18,2,1,12,1,1,2
20,1,1,15,1,1,1
15,1,1,16,5,1,1
24,2,1,15,1,1,1
16,1,1,8,1,1,2
14,1,1,15,3,1,2
16,1,1,15,1,1,1
15,1,1,16,1,1,1
17,2,1,7,1,1,1
12,1,1,11,5,1,2
16,1,1,11,1,1,1
11,2,2,1,99,1,2
16,1,1,15,2,1,2
18,2,1,7,1,1,2
16,2,1,12,1,1,2
14,1,1,13,2,1,2
16,2,1,15,2,1,2
11,2,1,1,99,1,1
19,1,1,15,1,1,2
16,1,1,14,1,1,1
20,1,1,15,1,1,1
10,1,1,14,1,1,1
16,1,1,15,1,2,1
23,1,1,13,2,2,2
22,1,1,15,1,1,2
12,2,1,11,1,1,1
17,1,1,15,1,1,2
22,1,1,11,1,1,1
9,1,1,4,99,1,1
18,2,1,12,3,1,1
12,1,1,16,1,1,1
23,2,1,17,2,1,2
15,1,1,16,1,2,1
17,2,1,16,1,1,1
20,1,1,13,1,3,2
16,1,1,15,1,1,1
23,1,1,15,1,1,2
18,2,1,9,3,1,2
17,2,1,6,99,1,1
16,1,1,13,1,1,1
12,1,1,6,99,1,2
18,1,1,8,1,1,2
16,2,1,7,1,1,2
15,1,1,15,1,1,1
14,2,1,12,1,2,1
15,1,1,15,1,1,1
16,1,1,12,1,1,2
20,2,1,9,1,1,2
18,1,1,15,2,1,2
15,2,1,6,99,1,1
20,2,1,11,1,1,2
13,1,1,6,99,1,1
19,2,1,15,1,1,2
20,1,1,15,1,3,2
18,1,1,15,1,1,2
16,1,1,14,1,1,2
18,1,1,15,1,1,2
15,1,1,17,2,1,1
10,1,1,17,1,1,1
15,2,1,16,1,1,1
20,2,1,10,1,1,2
18,1,1,10,1,1,2
14,1,1,9,1,1,2
21,2,1,11,1,1,1
18,1,1,14,1,1,1
18,1,2,8,3,2,2
22,2,1,16,1,1,2
15,1,1,10,1,1,1
16,1,1,11,1,1,1
22,1,1,13,1,1,1
15,1,1,15,1,2,2
16,1,1,14,1,1,1
16,2,1,7,1,1,1
17,1,1,13,1,1,1
16,1,1,13,2,1,2
19,1,1,14,1,1,1
